time,washer_x,washer_y,washer_z,dryer_x,dryer_y,dryer_z
1701539178684403415,0.03923,9.17902,4.00111,0.03923,9.10057,5.06023
1701539178789793312,0.11768,9.13980,4.07957,0.07845,9.06134,5.06023
1701539178895206208,0.11768,9.13980,4.11879,0.03923,9.02212,5.06023
1701539179000672105,0.11768,9.17902,4.04034,0.11768,9.02212,5.02100
1701539179106105989,0.11768,9.17902,4.07957,0.11768,9.06134,5.02100
1701539179211756868,0.11768,9.13980,4.00111,0.07845,9.10057,5.02100
1701539179317158749,0.11768,9.17902,4.04034,0.07845,9.06134,5.06023
1701539179422636630,0.11768,9.17902,4.04034,0.07845,9.06134,5.06023
1701539179528064511,0.11768,9.17902,4.00111,0.07845,9.10057,5.02100
1701539179633687390,0.11768,9.21825,4.11879,0.07845,9.06134,5.06023
1701539179739054271,0.15691,9.13980,4.07957,0.07845,9.06134,5.09946
1701539179844848148,0.11768,9.10057,4.04034,0.07845,9.06134,5.02100
1701539179952676004,0.11768,9.17902,4.04034,0.07845,9.06134,5.02100
1701539180058270877,0.15691,9.17902,4.04034,0.07845,9.06134,5.02100
1701539180163954740,0.07845,9.17902,4.04034,0.07845,9.02212,5.06023
1701539180269562604,0.11768,9.17902,4.04034,0.07845,9.02212,5.02100
1701539180376072458,0.11768,9.13980,4.04034,0.03923,9.06134,5.13868
1701539180481819320,0.07845,9.17902,4.00111,0.11768,9.06134,5.02100
1701539180587601182,0.07845,9.17902,4.11879,0.07845,9.06134,5.06023
1701539180693178046,0.15691,9.13980,4.00111,0.07845,9.10057,5.06023
1701539180799138906,0.11768,9.17902,4.07957,0.11768,9.06134,5.06023
1701539180904886769,0.11768,9.17902,4.07957,0.07845,9.06134,5.06023
1701539181010905628,0.07845,9.17902,4.04034,0.03923,9.06134,5.02100
1701539181116348478,0.15691,9.17902,4.07957,0.07845,9.06134,5.06023
1701539181222209324,0.15691,9.17902,4.04034,0.07845,9.06134,5.06023
1701539181327652174,0.11768,9.17902,4.04034,0.07845,9.02212,5.02100
1701539181433290022,0.11768,9.17902,4.04034,0.07845,9.06134,5.02100
1701539181539557863,0.11768,9.17902,4.11879,0.07845,8.98289,5.02100
1701539181645022713,0.15691,9.13980,4.04034,0.07845,9.10057,5.06023
1701539181750477564,0.11768,9.17902,4.07957,0.07845,9.06134,5.06023
1701539181855905414,0.15691,9.17902,4.04034,0.03923,9.10057,5.06023
1701539181961403264,0.11768,9.10057,4.00111,0.07845,9.02212,5.02100
1701539182066854106,0.11768,9.21825,4.11879,0.07845,9.06134,5.02100
1701539182172495939,0.11768,9.13980,4.04034,0.07845,9.06134,5.06023
1701539182277932774,0.07845,9.21825,4.07957,0.07845,9.02212,5.02100
1701539182383638606,0.11768,9.17902,4.07957,0.07845,9.06134,5.09946
1701539182489060442,0.15691,9.13980,4.04034,0.07845,9.02212,5.06023
1701539182593769285,0.11768,9.13980,4.04034,0.07845,9.10057,5.06023
1701539182699164121,0.11768,9.13980,4.04034,0.11768,9.06134,5.06023
1701539182804197961,0.11768,9.17902,4.07957,0.03923,9.06134,5.06023
1701539182909720795,0.15691,9.13980,4.04034,0.07845,9.10057,5.02100
1701539183015153630,0.07845,9.13980,4.04034,0.03923,9.10057,5.06023
1701539183120594450,0.07845,9.21825,4.07957,0.07845,9.10057,5.09946
1701539183226026270,0.15691,9.17902,4.00111,0.07845,9.06134,5.02100
1701539183331647088,0.15691,9.13980,4.04034,0.07845,9.06134,5.06023
1701539183437095908,0.11768,9.17902,4.04034,0.11768,9.06134,5.02100
1701539183542512729,0.11768,9.10057,4.11879,0.07845,9.06134,5.02100
1701539183647981549,0.11768,9.13980,4.07957,0.07845,9.02212,5.02100
1701539183753634367,0.11768,9.13980,4.04034,0.07845,9.06134,5.02100
1701539183859057187,0.11768,9.13980,4.07957,0.03923,9.06134,5.02100
1701539183964481008,0.11768,9.17902,4.04034,0.07845,9.10057,5.02100
1701539184069887827,0.11768,9.17902,4.11879,0.07845,9.06134,5.02100
1701539184175308632,0.07845,9.17902,4.04034,0.03923,9.06134,5.02100
1701539184280890436,0.15691,9.17902,4.07957,0.11768,9.06134,5.06023
1701539184386274242,0.11768,9.13980,4.11879,0.03923,9.06134,5.02100
1701539184491885045,0.11768,9.17902,4.07957,0.03923,9.06134,5.02100
1701539184597250852,0.15691,9.13980,4.04034,0.07845,9.02212,5.09946
1701539184702699657,0.11768,9.13980,4.11879,0.11768,9.06134,5.02100
1701539184808068463,0.15691,9.10057,4.04034,0.07845,9.06134,5.06023
1701539184913633267,0.11768,9.13980,4.00111,0.11768,9.06134,5.02100
1701539185019013072,0.15691,9.13980,4.07957,0.07845,9.06134,5.02100
1701539185124393864,0.07845,9.13980,4.00111,0.07845,9.06134,5.06023
1701539185229804655,0.07845,9.21825,4.07957,0.07845,9.06134,5.06023
